Init event [1, 0, 0, 0, 0]
Init event [0, 1, 0, 0, 0]
Send event [2, 0, 0, 0, 0]
Making progress [0, 2, 0, 0, 0]
Receive event [2, 3, 0, 0, 0]
Computing [3, 0, 0, 0, 0]
Checkpoint [4, 0, 0, 0, 0]
Making progress [2, 4, 0, 0, 0]
Init event [0, 0, 1, 0, 0]
Init event [0, 0, 0, 1, 0]
Init event [0, 0, 0, 0, 1]
Send event [0, 0, 2, 0, 0]
Checkpoint [0, 0, 3, 0, 0]
Send event [0, 0, 4, 0, 0]
Send event [2, 5, 0, 0, 0]
Receive event [0, 0, 2, 2, 0]
Checkpoint [0, 0, 2, 3, 0]
Send event [0, 0, 0, 0, 2]
Checkpoint [0, 0, 0, 0, 3]
Receive event [2, 6, 4, 0, 0]
Checkpoint [0, 0, 5, 0, 0]
Receive event [0, 0, 2, 0, 4]
Receive event [0, 0, 2, 4, 2]
Checkpoint [0, 0, 2, 5, 2]
Receive event [2, 5, 6, 0, 0]
Making progress [2, 5, 7, 0, 0]
Send event [5, 0, 0, 0, 0]
Receive event [6, 0, 4, 0, 0]
Receive event [5, 7, 4, 0, 0]
Checkpoint [5, 8, 4, 0, 0]
Send event [7, 0, 4, 0, 0]
Making progress [8, 0, 4, 0, 0]
Checkpoint [9, 0, 4, 0, 0]
Computing [0, 0, 2, 0, 5]
Processing results [0, 0, 2, 0, 6]
Checkpoint [2, 5, 8, 0, 0]
Send event [0, 0, 2, 6, 2]
Receive event [0, 0, 2, 6, 7]
Making progress [0, 0, 2, 6, 8]
Checkpoint [0, 0, 2, 6, 9]
Receive event [5, 0, 2, 7, 2]
Receive event [2, 5, 9, 6, 2]
Receive event [7, 5, 10, 6, 2]
Send event [7, 5, 11, 6, 2]
Receive event [7, 9, 4, 0, 0]
Checkpoint [7, 10, 4, 0, 0]
Making progress [7, 5, 12, 6, 2]
Receive event [7, 5, 11, 8, 2]
Checkpoint [7, 5, 11, 9, 2]
Receive event [7, 5, 11, 10, 2]
Checkpoint [7, 5, 11, 11, 2]
Send event [7, 11, 4, 0, 0]
Receive event [10, 11, 4, 0, 0]
Receive event [7, 0, 4, 6, 10]
Receive event [7, 11, 13, 6, 2]
Checkpoint [7, 0, 4, 6, 11]
Send event [7, 5, 11, 12, 2]
Making progress [7, 5, 11, 13, 2]
Checkpoint [7, 11, 14, 6, 2]
Receive event [7, 12, 11, 6, 2]
Checkpoint [7, 13, 11, 6, 2]
Send event [7, 14, 11, 6, 2]
Checkpoint [7, 5, 11, 14, 2]
Send event [7, 5, 11, 15, 2]
Computing [11, 11, 4, 0, 0]
Receive event [12, 14, 11, 6, 2]
Checkpoint [13, 14, 11, 6, 2]
Computing [7, 15, 11, 6, 2]
Receive event [14, 14, 11, 6, 2]
Processing results [7, 16, 11, 6, 2]
Receive event [7, 11, 15, 12, 2]
Receive event [7, 5, 11, 16, 2]
Receive event [7, 14, 11, 6, 12]
Checkpoint [7, 14, 11, 6, 13]
Receive event [7, 17, 11, 12, 2]
Checkpoint [7, 18, 11, 12, 2]
Send event [7, 19, 11, 12, 2]
Receive event [7, 14, 11, 15, 14]
Computing [7, 14, 11, 15, 15]
Processing results [7, 14, 11, 15, 16]
Receive event [7, 11, 16, 15, 2]
Checkpoint [7, 11, 17, 15, 2]
Receive event [7, 14, 18, 15, 2]
Checkpoint [7, 14, 19, 15, 2]
Send event [7, 20, 11, 12, 2]
Checkpoint [7, 21, 11, 12, 2]
Send event [7, 22, 11, 12, 2]
Receive event [15, 19, 11, 12, 2]
Making progress [16, 19, 11, 12, 2]
Making progress [7, 5, 11, 17, 2]
Receive event [7, 22, 11, 18, 2]
Receive event [7, 20, 11, 15, 17]
Receive event [17, 22, 11, 12, 2]
Receive event [7, 22, 20, 15, 2]
